Generation; Creature 0;Creature 1;Creature 2;Creature 3;Creature 4;Creature 5;Creature 6;Creature 7;Creature 8;Creature 9
0;-27.39699;-15.2241;-14.82581;37.89619;37.89619;35.15283;35.15283;-14.68008;-36.94564;-15.89964
1;9.501427;75.16587;75.16587;38.48082;38.48082;37.84479;22.70777;22.70777;42.4947;42.4947
2;38.05836;37.84046;37.84046;69.49142;26.31812;58.52434;42.12965;42.12965;30.57282;30.57282
3;36.73571;42.35074;37.75366;37.41162;65.32008;43.15966;46.48958;46.48958;26.25544;74.97211
4;37.57468;38.46095;38.46095;26.95898;27.38637;13.14152;45.82716;45.82716;73.01011;-6.694437
5;37.39565;41.86187;37.86845;37.86845;26.895;58.12431;58.12431;45.67572;45.67572;-2.639191
6;64.42376;37.83863;37.83863;37.70885;37.70885;39.66189;46.11107;46.11107;26.66084;26.66084
7;37.87347;58.34882;37.82446;37.82446;37.91215;53.14373;75.00227;49.69345;49.69345;43.51726
8;38.70395;38.70395;37.82313;69.49843;48.32837;51.09712;51.09712;46.84758;53.25802;-32.98825
9;57.64882;37.88641;37.88641;66.34012;58.50817;43.90854;24.99232;24.99232;49.71655;45.25292
